i,j,k,r,phi
0,11,0,21.5870331449,0.0
0,11,1,20.9045449604,0.0
0,11,2,20.2484567313,0.0
0,11,3,19.6214168703,0.0
0,11,4,19.0262975904,0.0
0,11,5,18.4661853126,0.0
0,11,6,17.9443584449,0.0
0,11,7,17.4642491966,0.0
0,11,8,17.0293863659,0.0
0,11,9,16.6433169771,0.0
0,11,10,16.3095064303,0.0
0,11,11,16.0312195419,0.0
0,11,12,15.8113883008,0.0
0,11,13,15.6524758425,0.0
0,11,14,15.5563491861,0.0
0,11,15,15.5241746963,0.0
0,11,16,15.5563491861,0.0
0,11,17,15.6524758425,0.0
0,11,18,15.8113883008,0.0
0,11,19,16.0312195419,0.0
0,11,20,16.3095064303,0.0
0,11,21,16.6433169771,0.0
0,11,22,17.0293863659,0.0
0,11,23,17.4642491966,0.0
0,11,24,17.9443584449,0.0
0,11,25,18.4661853126,0.0
0,11,26,19.0262975904,0.0
0,11,27,19.6214168703,0.0
0,11,28,20.2484567313,0.0
0,11,29,20.9045449604,0.0
0,12,0,21.4242852856,0.0
0,12,1,20.7364413533,0.0
0,12,2,20.0748598999,0.0
0,12,3,19.4422220952,0.0
0,12,4,18.8414436814,0.0
0,12,5,18.2756668825,0.0
0,12,6,17.7482393493,0.0
0,12,7,17.2626765016,0.0
0,12,8,16.8226038413,0.0
0,12,9,16.4316767252,0.0
0,12,10,16.0934769394,0.0
0,12,11,15.8113883008,0.0
0,12,12,15.5884572681,0.0
0,12,13,15.4272486205,0.0
0,12,14,15.3297097168,0.0
0,12,15,15.2970585408,0.0
0,12,16,15.3297097168,0.0
0,12,17,15.4272486205,0.0
0,12,18,15.5884572681,0.0
0,12,19,15.8113883008,0.0
0,12,20,16.0934769394,0.0
0,12,21,16.4316767252,0.0
0,12,22,16.8226038413,0.0
0,12,23,17.2626765016,0.0
0,12,24,17.7482393493,0.0
0,12,25,18.2756668825,0.0
0,12,26,18.8414436814,0.0
0,12,27,19.4422220952,0.0
0,12,28,20.0748598999,0.0
0,12,29,20.7364413533,0.0
0,13,0,21.3072757527,0.0
0,13,1,20.6155281281,0.0
0,13,2,19.9499373433,0.0
0,13,3,19.3132079158,0.0
0,13,4,18.7082869339,0.0
0,13,5,18.1383571472,0.0
0,13,6,17.6068168617,0.0
0,13,7,17.1172427686,0.0
0,13,8,16.6733320005,0.0
0,13,9,16.2788205961,0.0
0,13,10,15.9373774505,0.0
0,13,11,15.6524758425,0.0
0,13,12,15.4272486205,0.0
0,13,13,15.2643375225,0.0
0,13,14,15.1657508881,0.0
0,13,15,15.1327459504,0.0
0,13,16,15.1657508881,0.0
0,13,17,15.2643375225,0.0
0,13,18,15.4272486205,0.0
0,13,19,15.6524758425,0.0
0,13,20,15.9373774505,0.0
0,13,21,16.2788205961,0.0
0,13,22,16.6733320005,0.0
0,13,23,17.1172427686,0.0
0,13,24,17.6068168617,0.0
0,13,25,18.1383571472,0.0
0,13,26,18.7082869339,0.0
0,13,27,19.3132079158,0.0
0,13,28,19.9499373433,0.0
0,13,29,20.6155281281,0.0
