i,j,r,A_Z,B
28,25,3.0,0.34723052581,0.0569196858526
28,26,3.16227766017,0.337028263645,0.0506152892503
28,27,3.60555127546,0.315097762585,0.0431367679825
28,28,4.24264068712,0.289131964679,0.0367184265069
28,29,5.0,0.26317006583,0.0314476768799
28,30,5.83095189485,0.23882766535,0.0271845311142
28,31,6.7082039325,0.21655804394,0.0237592948167
28,32,7.61577310586,0.196324854519,0.021004347527
28,33,8.54400374532,0.177931989868,0.018773998873
28,34,9.48683298051,0.161139280621,0.0169520190949
28,35,10.4403065089,0.145724874088,0.0154491820089
28,36,11.401754251,0.131486621783,0.0141987239307
28,37,12.3693168769,0.118256609282,0.013150423159
28,38,13.3416640641,0.105886195296,0.0122669214643
28,39,14.3178210633,0.0942535365893,0.0115196827455
28,40,15.2970585408,0.0832490024757,0.0108873502156
28,41,16.2788205961,0.0727817844482,0.0103531934941
28,42,17.2626765016,0.0627679696121,0.00990471021299
28,43,18.2482875909,0.0531365393614,0.00953184426604
28,44,19.2353840617,0.0438201202964,0.00922725048483
28,45,20.2237484162,0.0347599232242,0.00898488348178
28,46,21.2132034356,0.0258989592757,0.00880062055703
28,47,22.2036033112,0.0171855133464,0.00867103357608
28,48,23.1948270095,0.00856866269487,0.00859421678311
28,49,24.1867732449,0.0,0.00428433134744
29,0,25.3179778023,0.0,0.00389206639953
29,1,24.3310501212,0.00778413279907,0.00780676487036
29,2,23.3452350599,0.0156091918226,0.00787470935932
29,3,22.360679775,0.0235160924627,0.00798913091126
29,4,21.3775583264,0.0315477549186,0.00815135047174
29,5,20.3960780544,0.0397471352047,0.00836391306248
29,6,19.4164878389,0.0481613036959,0.00862971279135
29,7,18.4390889146,0.0568376220961,0.0089531121831
29,8,17.4642491966,0.0658298915104,0.00933919527031
29,9,16.4924225025,0.0751928102718,0.00979496536211
29,10,15.5241746963,0.0849901524038,0.0103287970879
29,11,14.5602197786,0.0952876288624,0.0109517760367
29,12,13.6014705087,0.106162921636,0.0116774614937
29,13,12.6491106407,0.11769686831,0.0125234759945
29,14,11.7046999107,0.129984663114,0.0135117182936
29,15,10.7703296143,0.143124320962,0.0146702879324
29,16,9.8488578018,0.157226337702,0.0160341169404
29,17,8.94427191,0.172394441422,0.0176468124078
29,18,8.0622577483,0.18872314307,0.0195604736033
29,19,7.21110255093,0.206250617944,0.021834566936
29,20,6.40312423743,0.224905197067,0.0245292657382
29,21,5.65685424949,0.24436122138,0.0276916231026
29,22,5.0,0.263824876945,0.0313254331248
29,23,4.472135955,0.28167186417,0.0353172549118
29,24,4.12310562562,0.295115676408,0.0391904716947
29,25,4.0,0.300402862895,0.0414281833378
29,26,4.12310562562,0.294898667242,0.0392389855224
29,27,4.472135955,0.281236909252,0.0354073279721
29,28,5.0,0.26317006583,0.0314476768799
29,29,5.65685424949,0.243483724041,0.0278380256948
29,30,6.40312423743,0.223801152343,0.0246942859816
29,31,7.21110255093,0.204915240516,0.0220148198679
29,32,8.0622577483,0.187150538408,0.0197540870908
29,33,8.94427191,0.170577762255,0.0178529456524
29,34,9.8488578018,0.155157526617,0.0162526005957
29,35,10.7703296143,0.140794311429,0.0149014365573
29,36,11.7046999107,0.127383051047,0.0137561800293
29,37,12.6491106407,0.114812150808,0.0127821782918
29,38,13.6014705087,0.102982098592,0.0119515461106
29,39,14.5602197786,0.091796470359,0.011242595708
29,40,15.5241746963,0.0811727307375,0.0106378867237
29,41,16.4924225025,0.0710317842165,0.0101240594209
29,42,17.4642491966,0.0613059675833,0.00969021834411
29,43,18.4390889146,0.0519298404164,0.00932820706749
29,44,19.4164878389,0.0428464245991,0.0090312463507
29,45,20.3960780544,0.0339999067092,0.00879451382893
29,46,21.3775583264,0.0253402163376,0.00861393221127
29,47,22.360679775,0.016817796887,0.00848694422887
29,48,23.3452350599,0.0083864113531,0.00841139054251
29,49,24.3310501212,0.0,0.00419320567655
30,0,25.495097568,0.0,0.00378995484172
30,1,24.5153013443,0.00757990968343,0.00760206661178
30,2,23.5372045919,0.0151975841121,0.00766904092176
30,3,22.5610283454,0.022891645098,0.00778136967723
30,4,21.5870331449,0.0307004646776,0.00794063969624
30,5,20.6155281281,0.0386649982284,0.00814857242018
30,6,19.6468827044,0.0468257548664,0.00840807390711
30,7,18.6815416923,0.0552275753973,0.00872240072941
30,8,17.7200451467,0.0639147301232,0.00909624362191
30,9,16.7630546142,0.0729375363346,0.00953500559852
30,10,15.8113883008,0.0823455882715,0.0100459290549
30,11,14.8660687473,0.0921959429913,0.0106375224511
30,12,13.9283882772,0.102544278072,0.011320739059
30,13,13.0,0.113453926754,0.0121085634476
30,14,12.0830459736,0.124984051913,0.0130171833696
30,15,11.1803398875,0.137197501028,0.0140655896024
30,16,10.295630141,0.150142880629,0.0152763643319
30,17,9.43398113206,0.163855355479,0.0166745365856
