n, F
166,-27.3404199899
167,-27.3404205233
168,-27.3404210505
169,-27.3404215714
170,-27.3404220863
171,-27.3404225952
172,-27.3404230983
173,-27.3404235956
174,-27.3404240872
175,-27.3404245733
176,-27.3404250539
177,-27.3404255292
178,-27.3404259991
179,-27.3404264639
180,-27.3404269235
181,-27.3404273782
182,-27.3404278279
183,-27.3404282727
184,-27.3404287127
185,-27.3404291481
186,-27.3404295788
187,-27.340430005
188,-27.3404304267
189,-27.340430844
190,-27.3404312569
191,-27.3404316656
192,-27.3404320701
193,-27.3404324704
194,-27.3404328667
195,-27.340433259
196,-27.3404336473
197,-27.3404340317
198,-27.3404344123
199,-27.3404347891
200,-27.3404351622
201,-27.3404355316
202,-27.3404358974
203,-27.3404362597
204,-27.3404366185
205,-27.3404369738
206,-27.3404373257
207,-27.3404376742
208,-27.3404380195
209,-27.3404383615
210,-27.3404387003
211,-27.3404390359
212,-27.3404393684
213,-27.3404396979
214,-27.3404400243
215,-27.3404403477
216,-27.3404406682
217,-27.3404409857
218,-27.3404413004
219,-27.3404416123
220,-27.3404419213
221,-27.3404422276
222,-27.3404425312
223,-27.3404428322
224,-27.3404431304
225,-27.3404434261
226,-27.3404437192
227,-27.3404440097
228,-27.3404442978
229,-27.3404445834
230,-27.3404448665
231,-27.3404451472
232,-27.3404454255
233,-27.3404457015
234,-27.3404459752
235,-27.3404462466
236,-27.3404465157
237,-27.3404467826
238,-27.3404470473
239,-27.3404473098
240,-27.3404475702
241,-27.3404478284
242,-27.3404480846
243,-27.3404483387
244,-27.3404485907
245,-27.3404488407
246,-27.3404490887
247,-27.3404493348
248,-27.3404495789
249,-27.3404498211
250,-27.3404500613
251,-27.3404502997
252,-27.3404505363
253,-27.340450771
254,-27.3404510039
255,-27.340451235
256,-27.3404514644
257,-27.340451692
258,-27.3404519179
259,-27.340452142
260,-27.3404523645
261,-27.3404525853
262,-27.3404528045
263,-27.340453022
264,-27.3404532379
265,-27.3404534522
266,-27.340453665
267,-27.3404538761
268,-27.3404540858
269,-27.3404542939
270,-27.3404545005
271,-27.3404547057
272,-27.3404549093
273,-27.3404551115
274,-27.3404553123
275,-27.3404555116
276,-27.3404557095
277,-27.340455906
278,-27.3404561012
279,-27.340456295
280,-27.3404564874
281,-27.3404566785
282,-27.3404568683
283,-27.3404570568
284,-27.3404572439
285,-27.3404574298
286,-27.3404576145
287,-27.3404577979
288,-27.34045798
289,-27.3404581609
290,-27.3404583406
291,-27.3404585192
292,-27.3404586965
293,-27.3404588726
294,-27.3404590476
295,-27.3404592214
296,-27.3404593941
297,-27.3404595657
298,-27.3404597361
299,-27.3404599054
300,-27.3404600737
301,-27.3404602409
302,-27.3404604069
303,-27.340460572
304,-27.3404607359
305,-27.3404608989
306,-27.3404610608
307,-27.3404612217
308,-27.3404613815
309,-27.3404615404
310,-27.3404616983
311,-27.3404618552
312,-27.3404620111
313,-27.3404621661
314,-27.3404623201
315,-27.3404624732
316,-27.3404626253
317,-27.3404627765
318,-27.3404629268
319,-27.3404630762
320,-27.3404632247
321,-27.3404633723
322,-27.3404635191
323,-27.3404636649
